problem,tfes,method,action,action_count,action_share,validation_attempt_count,validation_accept_count,validation_accept_rate,action_delta_mean
A6,5000,arac-lite-v0.1-disable-fast,Disable,11203,0.5955874534821903,9954,2757,0.2769740807715491,-56.15821475065483
A6,5000,arac-lite-v0.1-disable-fast,Freeze,5808,0.3087719298245614,5727,1430,0.249694429893487,-53.92266672412334
A6,5000,arac-lite-v0.1-disable-fast,Fusion,1799,0.09564061669324828,1799,373,0.20733740967204004,-77.84141745517317
A6,5000,arac-lite-v0.6-random-probe-same-budget,Disable,11181,0.5944178628389155,9932,2757,0.2775875956504229,-56.162156711036396
A6,5000,arac-lite-v0.6-random-probe-same-budget,Freeze,5846,0.3107921318447634,5765,1429,0.24787510841283608,-53.421296460571305
A6,5000,arac-lite-v0.6-random-probe-same-budget,Fusion,1783,0.0947900053163211,1783,374,0.20975883342680876,-78.58712105556343
A6,5000,arac-lite-v0.6-targeted-probe,Disable,11209,0.595906432748538,9960,2757,0.2768072289156627,-56.19863081251939
A6,5000,arac-lite-v0.6-targeted-probe,Freeze,5801,0.3083997873471558,5720,1430,0.25,-53.786820396918685
A6,5000,arac-lite-v0.6-targeted-probe,Fusion,1800,0.09569377990430622,1800,373,0.20722222222222222,-78.17600309606534
A6,5000,validated-selective-conflict,Disable,3350,0.1799140708915145,2860,980,0.34265734265734266,-79.98731757166563
A6,5000,validated-selective-conflict,Freeze,10282,0.552201933404941,10032,2994,0.298444976076555,-137.32969708811854
A6,5000,validated-selective-conflict,Fusion,4988,0.2678839957035446,4968,1346,0.27093397745571657,-151.72053462549007
A6,10000,arac-lite-v0.1-disable-fast,Disable,32420,0.7720885925220291,23186,6016,0.25946691969291813,-89.88849452202169
A6,10000,arac-lite-v0.1-disable-fast,Freeze,7236,0.17232674446296736,6780,1805,0.2662241887905605,-92.35349192255809
A6,10000,arac-lite-v0.1-disable-fast,Fusion,2334,0.055584663015003574,2334,539,0.23093401885175663,-135.29726963463224
A6,10000,arac-lite-v0.6-random-probe-same-budget,Disable,32199,0.770311004784689,22716,5399,0.2376738862475788,-88.3337833545051
A6,10000,arac-lite-v0.6-random-probe-same-budget,Freeze,7274,0.17401913875598085,6687,1672,0.250037385972783,-92.93741653980362
A6,10000,arac-lite-v0.6-random-probe-same-budget,Fusion,2327,0.05566985645933014,2327,529,0.2273313278899871,-133.598023714719
A6,10000,arac-lite-v0.6-targeted-probe,Disable,32261,0.7717942583732057,22887,6571,0.2871062175033862,-85.1478133894111
A6,10000,arac-lite-v0.6-targeted-probe,Freeze,7201,0.17227272727272727,6695,1800,0.268857356235997,-89.45753125438848
A6,10000,arac-lite-v0.6-targeted-probe,Fusion,2338,0.05593301435406699,2338,559,0.23909324208725408,-129.7750717069353
A6,10000,validated-selective-conflict,Disable,6740,0.16576487948844074,6500,1690,0.26,-141.66400040021605
A6,10000,validated-selective-conflict,Freeze,22706,0.5584358091490408,22566,6024,0.26695027918106884,-174.5662008479437
A6,10000,validated-selective-conflict,Fusion,11214,0.27579931136251845,11214,3116,0.2778669520242554,-184.7284285338757
A6,20000,arac-lite-v0.1-disable-fast,Disable,79526,0.8849004117057973,32729,7466,0.22811573833603227,-50.87790116168934
A6,20000,arac-lite-v0.1-disable-fast,Freeze,7879,0.08767108044953822,6986,1839,0.26324076724878326,-87.49439730082898
A6,20000,arac-lite-v0.1-disable-fast,Fusion,2465,0.027428507844664517,2465,575,0.2332657200811359,-132.6347334793656
A6,20000,arac-lite-v0.6-random-probe-same-budget,Disable,79522,0.8848559029709581,33262,7466,0.22446034513859658,-51.223848832865535
A6,20000,arac-lite-v0.6-random-probe-same-budget,Freeze,7879,0.08767108044953822,7019,1839,0.26200313434962247,-87.73022101247338
A6,20000,arac-lite-v0.6-random-probe-same-budget,Fusion,2469,0.02747301657950373,2469,575,0.23288780882948562,-132.48306594659215
A6,20000,arac-lite-v0.6-targeted-probe,Disable,79536,0.8850116835428953,32714,7467,0.22825090175460047,-50.87488948271037
A6,20000,arac-lite-v0.6-targeted-probe,Freeze,7868,0.08754868142873039,7000,1837,0.26242857142857146,-87.62002506698448
A6,20000,arac-lite-v0.6-targeted-probe,Fusion,2466,0.027439635028374317,2466,576,0.23357664233576642,-132.58376959815664
A6,20000,validated-selective-conflict,Disable,13610,0.15471183357962942,13610,3530,0.25936811168258633,-133.49567702882905
A6,20000,validated-selective-conflict,Freeze,49615,0.5639990905990678,49615,12761,0.25720044341429005,-163.20298369490158
A6,20000,validated-selective-conflict,Fusion,24745,0.2812890758213027,24745,6319,0.25536472014548395,-176.862320008631
E4,5000,arac-lite-v0.1-disable-fast,Disable,8590,0.8220095693779904,5373,1408,0.26205099571933743,-190050753.9117262
E4,5000,arac-lite-v0.1-disable-fast,Freeze,804,0.07693779904306221,791,96,0.1213653603034134,-902871421.5907334
E4,5000,arac-lite-v0.1-disable-fast,Fusion,1056,0.10105263157894737,1056,111,0.10511363636363637,-958159296.2646979
E4,5000,arac-lite-v0.6-random-probe-same-budget,Disable,8589,0.8219138755980862,5372,1407,0.26191362620997766,-190073328.00962457
E4,5000,arac-lite-v0.6-random-probe-same-budget,Freeze,804,0.07693779904306221,791,96,0.1213653603034134,-902871421.590991
E4,5000,arac-lite-v0.6-random-probe-same-budget,Fusion,1057,0.10114832535885167,1057,112,0.10596026490066225,-957249175.678534
