problem,seed,tfes,method,coordination_mode,cc_pass_group_fes,cc_pass_count,best_error,final_error,fe_used,runtime,fusion_count,freeze_count,disable_count,fusion_validation_attempt_count,fusion_validation_accept_count,fusion_validation_accept_rate,validation_attempt_count,validation_accept_count,validation_reject_count,validation_accept_rate,validation_extra_fe_ratio,relation_history_size,status
R6,1,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,2086440033657.1323,2095973362414.821,5000,1.897892951965332,247,181,1282,247,34,0.13765182186234817,9,2,7,0.2222222222222222,0.0018,190,ok
R6,2,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,4496787508282.693,4500913424517.277,5000,1.8963851928710938,253,137,1320,253,46,0.18181818181818182,9,4,5,0.4444444444444444,0.0018,190,ok
R6,3,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,2053301455837.32,2053301455837.32,5000,3.694138765335083,210,124,1376,210,21,0.1,9,5,4,0.5555555555555556,0.0018,190,ok
R6,4,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,1623213383470.2244,1625614707005.2886,5000,3.7590932846069336,567,306,837,567,137,0.24162257495590828,9,2,7,0.2222222222222222,0.0018,190,ok
R6,5,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,2362731801546.1084,2362731801546.1084,5000,3.792412281036377,193,134,1383,193,0,0.0,8,0,8,0.0,0.0016,190,ok
R6,6,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,2175631964108.1067,2175669994968.4927,5000,3.72094988822937,194,119,1397,194,4,0.020618556701030927,8,3,5,0.375,0.0016,190,ok
R6,7,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,1463008557153.5366,1463008557153.5366,5000,3.840934991836548,194,103,1413,194,1,0.005154639175257732,9,1,8,0.1111111111111111,0.0018,190,ok
R6,8,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,2368997200997.317,2368997200997.317,5000,3.800428628921509,204,115,1391,204,10,0.049019607843137254,9,3,6,0.3333333333333333,0.0018,190,ok
R6,9,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,1329744778064.6985,1331404002142.5637,5000,3.734001398086548,365,232,1113,365,82,0.22465753424657534,9,3,6,0.3333333333333333,0.0018,190,ok
R6,10,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,808539735147.7078,808539735147.7078,5000,3.762728452682495,193,102,1415,193,1,0.0051813471502590676,7,1,6,0.14285714285714285,0.0014,190,ok
S6,1,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,34110235662297.41,34254265455357.195,5000,1.751478910446167,200,118,1392,200,7,0.035,9,3,6,0.3333333333333333,0.0018,190,ok
S6,2,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,23329059015603.176,23417372903118.22,5000,1.7646327018737793,323,197,1190,323,48,0.14860681114551083,9,2,7,0.2222222222222222,0.0018,189,ok
S6,3,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,28556728935465.984,28579575206370.24,5000,3.512775421142578,346,238,1126,346,102,0.2947976878612717,9,4,5,0.4444444444444444,0.0018,188,ok
S6,4,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,24141385386233.066,24141385386233.066,5000,3.509089946746826,330,199,1181,330,53,0.1606060606060606,9,2,7,0.2222222222222222,0.0018,190,ok
S6,5,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,20133034889431.75,20133034889431.75,5000,3.5967090129852295,391,255,1064,391,83,0.21227621483375958,9,2,7,0.2222222222222222,0.0018,190,ok
S6,6,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,18250625951156.582,18250625951156.582,5000,3.495699405670166,210,123,1377,210,8,0.0380952380952381,9,2,7,0.2222222222222222,0.0018,190,ok
S6,7,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,23671978914965.32,23671978914965.32,5000,3.4492275714874268,193,111,1406,193,1,0.0051813471502590676,8,1,7,0.125,0.0016,190,ok
S6,8,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,26640368227069.84,26640368227069.84,5000,3.428987741470337,199,112,1399,199,5,0.02512562814070352,9,2,7,0.2222222222222222,0.0018,190,ok
S6,9,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,16041664936508.15,16066072008285.457,5000,3.4454147815704346,226,123,1361,226,23,0.10176991150442478,9,3,6,0.3333333333333333,0.0018,190,ok
S6,10,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,17435172899387.18,17483985990706.896,5000,3.5323939323425293,277,205,1228,277,53,0.19133574007220217,9,3,6,0.3333333333333333,0.0018,190,ok
E6,1,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,4597483538468.345,4597888658378.167,5000,3.0463407039642334,192,110,1408,192,1,0.005208333333333333,7,1,6,0.14285714285714285,0.0014,189,ok
