problem,tfes,method,runs,best_mean,best_std,best_median,best_q1,best_q3,best_iqr,final_mean,final_std,gap_vs_no_coordination,gap_vs_validated,gap_vs_disable_fast,fusion_count,freeze_count,disable_count,fusion_validation_accept_rate,validation_accept_rate,validation_extra_fe_ratio,cc_pass_count_mean,relation_history_size_mean
E6,5000,arac-lite-v0.6-accept-delta-recovery,10,4544116102505.544,480138368472.33,4579056485036.488,4383767970076.318,4809778097298.418,426010127222.1001,4546406977539.334,480810920626.40295,nan,nan,nan,2235,1374,13491,0.10477411236906942,0.29345238095238096,0.0017399999999999998,9.0,189.7
E6,5000,arac-lite-v0.6-accept-only-recovery,10,4546592261700.367,482220583894.30914,4576930377630.724,4383714154511.8486,4831296380952.159,447582226440.31055,4549073762360.754,482884437688.3569,nan,nan,nan,2508,1563,13029,0.13198549309582902,0.3142857142857143,0.0017599999999999998,9.0,189.7
E6,10000,arac-lite-v0.6-accept-delta-recovery,10,2110803227991.429,220710041544.1308,2163655620408.9297,2030500367812.8374,2196382290462.3647,165881922649.52734,2111244352869.067,220296397071.75323,nan,nan,nan,3104,1794,27402,0.15421853968012733,0.304274132730015,0.00148,17.0,190.0
E6,10000,arac-lite-v0.6-accept-only-recovery,10,2109182198174.3015,219874104936.9023,2160753683146.5566,2027362958919.3088,2195958388321.0396,168595429401.7307,2109476149199.358,219364723475.67987,nan,nan,nan,4225,2458,25617,0.1660036265022053,0.31046568627450977,0.0016099999999999999,17.0,189.8
E6,20000,arac-lite-v0.6-accept-delta-recovery,10,565381381588.4417,41060144528.21228,557742584786.4518,534963054330.7278,590520351842.1844,55557297511.456665,565578318703.4875,41137861148.20587,nan,nan,nan,2889,1875,57936,0.1847657615222319,0.41630340673818933,0.0013999999999999998,33.0,190.0
E6,20000,arac-lite-v0.6-accept-only-recovery,10,565673224828.5276,40516375096.084145,558819955270.2686,535064890217.6483,591237935532.1483,56173045314.5,565974509565.6951,40572497731.417534,nan,nan,nan,4232,2603,55865,0.2049785879370484,0.3710362701424407,0.00146,33.0,190.0
R6,5000,arac-lite-v0.6-accept-delta-recovery,10,2076980610721.1145,937143703455.6835,2071639484242.476,1503075539041.1543,2315956842186.608,812881303145.4536,2078757256849.252,937972035499.865,nan,nan,nan,2249,1343,13508,0.10260388555182938,0.26706349206349206,0.0016799999999999999,9.0,190.0
R6,5000,arac-lite-v0.6-accept-only-recovery,10,2076839641826.4844,937173673921.874,2069870744747.226,1503059763732.7085,2315956842186.608,812897078453.8994,2078615424173.0435,938004883193.1608,nan,nan,nan,2620,1553,12927,0.09657242637526986,0.27400793650793653,0.00172,9.0,190.0
R6,10000,arac-lite-v0.6-accept-delta-recovery,10,27080875493.86297,7659615156.797832,26305906128.964264,21954812259.875473,29000238116.29477,7045425856.419296,27108957833.2828,7653943261.004223,nan,nan,nan,2260,1307,28733,0.07250076282031738,0.3333174178762414,0.00153,17.0,190.0
R6,10000,arac-lite-v0.6-accept-only-recovery,10,27081011998.660286,7687837940.45936,26305890647.39846,21838882538.39298,29000187925.746784,7161305387.353806,27103760641.936653,7678125513.647321,nan,nan,nan,2377,1362,28561,0.08295646674177679,0.3431213394448689,0.0015699999999999998,17.0,190.0
R6,20000,arac-lite-v0.6-accept-delta-recovery,10,964446268.6897304,143056371.92520538,943093954.0725291,872633397.6903758,1089597218.5707328,216963820.88035703,964446268.6897304,143056371.92520538,nan,nan,nan,2953,1705,58042,0.14046815523361794,0.3412889578956041,0.001395,33.0,190.0
R6,20000,arac-lite-v0.6-accept-only-recovery,10,963253577.1932471,140853406.41757676,940785361.8131022,874806669.5839453,1090343392.0744312,215536722.4904859,963253577.1932471,140853406.41757676,nan,nan,nan,3373,1965,57362,0.13066189943983691,0.3053209199392459,0.0014399999999999999,33.0,190.0
S6,5000,arac-lite-v0.6-accept-delta-recovery,10,23227442031353.773,5283302615202.107,23500518965284.25,18714927293466.438,26015383976907.605,7300456683441.168,23260320268566.4,5306954745740.345,nan,nan,nan,2298,1448,13354,0.11613608235325956,0.2569444444444445,0.00178,9.0,189.7
S6,5000,arac-lite-v0.6-accept-only-recovery,10,23231025481811.848,5282589255702.338,23500518965284.25,18721228185725.375,26015622516860.65,7294394331135.273,23263866493269.457,5306189811319.504,nan,nan,nan,2695,1681,12724,0.12127946394094305,0.2680555555555556,0.00178,9.0,189.7
S6,10000,arac-lite-v0.6-accept-delta-recovery,10,281010670097.8966,106636784199.11603,248688120236.2117,189148036547.5752,353855908362.8732,164707871815.29803,281144135642.902,106759518716.20282,nan,nan,nan,2533,1457,28310,0.16160303402380322,0.37195647489765143,0.0015400000000000001,17.0,190.0
S6,10000,arac-lite-v0.6-accept-only-recovery,10,280924887968.0907,106052798974.46248,248645662433.53918,187085505768.2745,354762019374.2499,167676513605.97537,280944776818.0114,106042099158.29185,nan,nan,nan,3969,2283,26048,0.13980686517604884,0.32819570135746606,0.0016399999999999997,17.0,190.0
S6,20000,arac-lite-v0.6-accept-delta-recovery,10,2556605479.853162,462200065.4381253,2598608675.2610445,2147923180.011265,2810150995.418038,662227815.4067731,2560015137.2340293,462959248.17520136,nan,nan,nan,2883,1524,58293,0.13495105326231455,0.3475148332266144,0.001325,33.0,190.0
S6,20000,arac-lite-v0.6-accept-only-recovery,10,2584131393.8289948,455701060.3662303,2638112527.933668,2157988058.45419,2844279780.962925,686291722.5087352,2588310026.453458,454421815.3141469,nan,nan,nan,3813,2025,56862,0.15193178331336582,0.3237893502269379,0.0013949999999999998,33.0,190.0
