problem,tfes,method,runs,best_mean,best_std,best_median,best_q1,best_q3,best_iqr,final_mean,final_std,gap_vs_no_coordination,gap_vs_validated,gap_vs_disable_fast,fusion_count,freeze_count,disable_count,fusion_validation_accept_rate,validation_accept_rate,validation_extra_fe_ratio,cc_pass_count_mean,relation_history_size_mean
A6,5000,arac-lite-v0.1-disable-fast,10,81251.71333633094,1042.1526181887848,81731.5545720352,80410.64260137946,82073.96004945056,1663.3174480711023,83768.873456057,536.7599829249046,0.0006116095950405416,0.0,0.0,1799,5808,11203,0.18773120802466756,0.2583333333333333,0.00184,9.9,154.6
A6,5000,arac-lite-v0.6-no-delta-hard-block,10,81251.71333633094,1042.1526181887848,81731.5545720352,80410.64260137946,82073.96004945056,1663.3174480711023,83768.873456057,536.7599829249046,0.0006116095950405416,0.0,0.0,1800,5801,11209,0.18752388139543943,0.2583333333333333,0.00184,9.9,154.6
A6,5000,arac-lite-v0.6-targeted-probe,10,81251.71333633094,1042.1526181887848,81731.5545720352,80410.64260137946,82073.96004945056,1663.3174480711023,83768.873456057,536.7599829249046,0.0006116095950405416,0.0,0.0,1800,5801,11209,0.18752388139543943,0.2583333333333333,0.00184,9.9,154.6
A6,5000,no-coordination,10,81202.04938379086,998.9668076559914,81722.8051543105,80410.64260137946,81984.71467680753,1574.0720754280774,83850.62449290478,317.03815312001836,0.0,-0.0006112357573864922,-0.0006112357573864922,0,0,0,0.0,0.0,0.0,9.0,0.0
A6,5000,validated-selective-conflict,10,81251.71333633094,1042.1526181887848,81731.5545720352,80410.64260137946,82073.96004945056,1663.3174480711023,83703.93168575507,475.8590944461891,0.0006116095950405416,0.0,0.0,4988,10282,3350,0.2646729549805205,0.28775252525252526,0.0018800000000000002,9.8,0.0
A6,10000,arac-lite-v0.1-disable-fast,10,81228.20715905374,1075.6286923891448,81731.5545720352,80395.86349866707,82073.96004945056,1678.0965507834917,83353.96180801604,332.1338834994453,0.0012233355902561045,0.0,0.0,2334,7236,32420,0.20659234621374742,0.24548165070223896,0.0016999999999999997,22.1,183.9
A6,10000,arac-lite-v0.6-no-delta-hard-block,10,81228.20715905374,1075.6286923891448,81731.5545720352,80395.86349866707,82073.96004945056,1678.0965507834917,83397.89640611541,376.1818814433634,0.0012233355902561045,0.0,0.0,2338,7201,32261,0.212503456011954,0.2639388062917475,0.0016799999999999999,22.0,184.0
A6,10000,arac-lite-v0.6-targeted-probe,10,81228.20715905374,1075.6286923891448,81731.5545720352,80395.86349866707,82073.96004945056,1678.0965507834917,83397.89640611541,376.1818814433634,0.0012233355902561045,0.0,0.0,2338,7201,32261,0.212503456011954,0.2639388062917475,0.0016799999999999999,22.0,184.0
A6,10000,no-coordination,10,81128.95921584456,1002.7610011660228,81718.31631259549,80389.57417495098,81928.27348542662,1538.6993104756402,83916.83704756439,226.2710734821035,0.0,-0.0012218408688356283,-0.0012218408688356283,0,0,0,0.0,0.0,0.0,17.0,0.0
A6,10000,validated-selective-conflict,10,81228.20715905374,1075.6286923891448,81731.5545720352,80395.86349866707,82073.96004945056,1678.0965507834917,83312.69729071924,356.2856099882012,0.0012233355902561045,0.0,0.0,11214,22706,6740,0.2757004085995863,0.2661646210387629,0.0021200000000000004,21.4,0.0
