problem,seed,tfes,method,coordination_mode,cc_pass_group_fes,cc_pass_count,best_error,final_error,fe_used,runtime,fusion_count,freeze_count,disable_count,fusion_validation_attempt_count,fusion_validation_accept_count,fusion_validation_accept_rate,validation_attempt_count,validation_accept_count,validation_reject_count,validation_accept_rate,validation_extra_fe_ratio,relation_history_size,status
E4,1,5000,no-coordination,no_coordination,20,10,4294161068218.217,4302397400075.5986,5000,1.8520073890686035,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E4,2,5000,no-coordination,no_coordination,20,10,4918682850721.954,4925711606441.105,5000,1.8975443840026855,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E4,3,5000,no-coordination,no_coordination,20,10,4430942356803.028,4452976728908.589,5000,1.8374159336090088,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E4,4,5000,no-coordination,no_coordination,20,10,4472336123642.366,4526423932325.817,5000,1.8918097019195557,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E4,5,5000,no-coordination,no_coordination,20,10,4701501085540.418,4713155227652.273,5000,1.8882923126220703,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E4,6,5000,no-coordination,no_coordination,20,10,5086081011323.461,5092831903081.99,5000,1.9343745708465576,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E4,7,5000,no-coordination,no_coordination,20,10,4932350003332.718,4950207438677.392,5000,1.9039087295532227,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E4,8,5000,no-coordination,no_coordination,20,10,4872911437957.515,4872911437957.515,5000,1.9009137153625488,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E4,9,5000,no-coordination,no_coordination,20,10,5453359735267.644,5459675609520.636,5000,1.9029395580291748,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E4,10,5000,no-coordination,no_coordination,20,10,4969611540745.803,4969611540745.803,5000,1.9124383926391602,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E6,1,5000,no-coordination,no_coordination,20,9,4593856811367.666,4593856811367.666,5000,1.9804604053497314,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E6,2,5000,no-coordination,no_coordination,20,9,4500203375030.624,4500449939395.764,5000,1.9873270988464355,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E6,3,5000,no-coordination,no_coordination,20,9,4335245201260.807,4335245201260.807,5000,1.874138355255127,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
