problem,tfes,candidate,baseline,paired_runs,wins,losses,ties,non_worse_count,non_worse_rate,gap_mean,gap_std,gap_median,gap_q1,gap_q3,gap_iqr,worst_case_gap,best_case_gap
E6,5000,arac-lite-v0.6-accept-only-recovery,arac-lite-v0.6-accept-delta-recovery,10,1,5,4,5,0.5,0.0005016504232898086,0.001820439995350294,9.3650093553364e-06,0.0,0.00015748424249975216,0.00015748424249975216,0.005779923491018289,-0.0014421081556453723
E6,10000,arac-lite-v0.6-accept-only-recovery,arac-lite-v0.6-accept-delta-recovery,10,5,3,2,7,0.7,-0.0007323291718112697,0.0015239762548064524,-0.00042000274036516294,-0.002320768574193493,0.00032848039355301074,0.002649248967746504,0.00202486318686947,-0.0026709798774042885
E6,20000,arac-lite-v0.6-accept-only-recovery,arac-lite-v0.6-accept-delta-recovery,10,3,6,1,4,0.4,0.0006002060578965072,0.005481596855555814,0.0002126655105060643,-0.0003302571762247357,0.003133409837457857,0.003463667013682593,0.010972471574814796,-0.009018934512691562
E6,all,arac-lite-v0.6-accept-only-recovery,arac-lite-v0.6-accept-delta-recovery,30,9,14,7,16,0.5333333333333333,0.000123175769791682,0.003501766180702782,0.0,-0.0007400898359559896,0.0003431698680746428,0.0010832597040306324,0.010972471574814796,-0.009018934512691562
R6,5000,arac-lite-v0.6-accept-only-recovery,arac-lite-v0.6-accept-delta-recovery,10,3,2,5,8,0.8,-4.049523123803979e-05,0.0006548690617916506,0.0,-6.889985587706915e-07,0.0,6.889985587706915e-07,0.001191691703589057,-0.0016925918911053924
R6,10000,arac-lite-v0.6-accept-only-recovery,arac-lite-v0.6-accept-delta-recovery,10,3,2,5,8,0.8,-0.00025693974101465765,0.0026696855620810633,0.0,-9.589249344052744e-07,0.0,9.589249344052744e-07,0.0036027029751293767,-0.007552346455701872
R6,20000,arac-lite-v0.6-accept-only-recovery,arac-lite-v0.6-accept-delta-recovery,10,4,6,0,4,0.4,-0.0009291033733786865,0.005350593856232745,0.00014963361536796563,-4.952045383676748e-06,0.00232670612983903,0.002331658175222707,0.0039619460598811496,-0.014192441232934708
R6,all,arac-lite-v0.6-accept-only-recovery,arac-lite-v0.6-accept-delta-recovery,30,10,10,10,20,0.6666666666666666,-0.0004088461152104614,0.0034935347256397713,0.0,-1.1885911205648273e-06,0.0002490021187568081,0.00025019070987737294,0.0039619460598811496,-0.014192441232934708
S6,5000,arac-lite-v0.6-accept-only-recovery,arac-lite-v0.6-accept-delta-recovery,10,0,4,6,6,0.6,0.0001655438842348337,0.0003732917556258296,0.0,0.0,5.521004849420703e-05,5.521004849420703e-05,0.0012534205521301162,0.0
S6,10000,arac-lite-v0.6-accept-only-recovery,arac-lite-v0.6-accept-delta-recovery,10,6,4,0,6,0.6,0.0002940021949630682,0.006814115577495066,-1.08368240552652e-05,-0.00023161027259946997,0.002848878387156811,0.003080488659756281,0.010090375092755493,-0.014905955092048295
S6,20000,arac-lite-v0.6-accept-only-recovery,arac-lite-v0.6-accept-delta-recovery,10,2,6,2,4,0.4,0.01156710558394568,0.012607532316815885,0.011390345092560646,0.0,0.01873805309651763,0.01873805309651763,0.034125807948127036,-0.005195616558387054
S6,all,arac-lite-v0.6-accept-only-recovery,arac-lite-v0.6-accept-delta-recovery,30,8,14,8,16,0.5333333333333333,0.004008883887714526,0.009852575171678089,0.0,-5.220050087628419e-06,0.007618676853334329,0.007623896903421958,0.034125807948127036,-0.014905955092048295
