problem,tfes,candidate,baseline,paired_runs,wins,losses,ties,non_worse_count,non_worse_rate,gap_mean,gap_std,gap_median,gap_q1,gap_q3,gap_iqr,worst_case_gap,best_case_gap
A6,5000,arac-lite-v0.6-targeted-probe,no-coordination,10,0,5,5,5,0.5,0.0006060382363158789,0.001443413490701664,1.179711836464187e-05,0.0,0.00020616711558764692,0.00020616711558764692,0.004884241312491126,0.0
A6,5000,arac-lite-v0.6-targeted-probe,validated-selective-conflict,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A6,5000,arac-lite-v0.6-targeted-probe,arac-lite-v0.1-disable-fast,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A6,5000,arac-lite-v0.6-targeted-probe,arac-lite-v0.6-random-probe-same-budget,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A6,5000,arac-lite-v0.6-random-probe-same-budget,no-coordination,10,0,5,5,5,0.5,0.0006060382363158789,0.001443413490701664,1.179711836464187e-05,0.0,0.00020616711558764692,0.00020616711558764692,0.004884241312491126,0.0
A6,5000,arac-lite-v0.6-random-probe-same-budget,validated-selective-conflict,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A6,5000,arac-lite-v0.6-random-probe-same-budget,arac-lite-v0.1-disable-fast,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A6,5000,arac-lite-v0.6-random-probe-same-budget,arac-lite-v0.6-random-probe-same-budget,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A6,10000,arac-lite-v0.6-targeted-probe,no-coordination,10,0,9,1,1,0.1,0.0012139502639475805,0.001973007594210138,0.0003049215618348354,0.00011400471005717566,0.0005116463701226501,0.00039764166006547446,0.005262292461765154,0.0
A6,10000,arac-lite-v0.6-targeted-probe,validated-selective-conflict,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A6,10000,arac-lite-v0.6-targeted-probe,arac-lite-v0.1-disable-fast,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A6,10000,arac-lite-v0.6-targeted-probe,arac-lite-v0.6-random-probe-same-budget,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A6,10000,arac-lite-v0.6-random-probe-same-budget,no-coordination,10,0,9,1,1,0.1,0.0012139502639475805,0.001973007594210138,0.0003049215618348354,0.00011400471005717566,0.0005116463701226501,0.00039764166006547446,0.005262292461765154,0.0
A6,10000,arac-lite-v0.6-random-probe-same-budget,validated-selective-conflict,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A6,10000,arac-lite-v0.6-random-probe-same-budget,arac-lite-v0.1-disable-fast,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
