problem,tfes,method,targeted_candidate_count,targeted_probe_count,targeted_probe_accept_count,targeted_probe_accept_rate,targeted_probe_delta_mean,matched_probe_count,recovered_fusion_count,bad_probe_count,extra_fe_ratio
A6,5000,arac-lite-v0.6-no-delta-hard-block,7,2,0,0.0,-318.1733635909259,0,0,0,0.00184
A6,5000,arac-lite-v0.6-targeted-probe,7,2,0,0.0,-318.1733635909259,0,0,0,0.00184
A6,10000,arac-lite-v0.6-no-delta-hard-block,19,6,2,0.3333333333333333,21.188872399213626,2,2,0,0.0016799999999999999
A6,10000,arac-lite-v0.6-targeted-probe,19,6,2,0.3333333333333333,21.188872399213626,2,2,0,0.0016799999999999999
A6,20000,arac-lite-v0.6-no-delta-hard-block,18,4,1,0.25,-0.7392943500817637,1,1,0,0.0011099999999999999
A6,20000,arac-lite-v0.6-targeted-probe,18,4,1,0.25,-0.7392943500817637,1,1,0,0.0011099999999999999
E4,5000,arac-lite-v0.6-no-delta-hard-block,2,1,0,0.0,-23819499.5859375,0,0,0,0.00152
E4,5000,arac-lite-v0.6-targeted-probe,2,1,0,0.0,-23819499.5859375,0,0,0,0.00152
E4,10000,arac-lite-v0.6-no-delta-hard-block,6,2,0,0.0,-54613733.64941406,1,0,0,0.00086
E4,10000,arac-lite-v0.6-targeted-probe,6,2,0,0.0,-54613733.64941406,1,0,0,0.00086
E4,20000,arac-lite-v0.6-no-delta-hard-block,0,0,0,0.0,nan,0,0,0,0.000445
E4,20000,arac-lite-v0.6-targeted-probe,0,0,0,0.0,nan,0,0,0,0.000445
E6,5000,arac-lite-v0.6-no-delta-hard-block,18,2,1,0.5,-247486256.45654297,1,1,0,0.00152
E6,5000,arac-lite-v0.6-targeted-probe,18,2,1,0.5,-247486256.45654297,1,1,0,0.00152
E6,10000,arac-lite-v0.6-no-delta-hard-block,6,3,1,0.3333333333333333,-21640851.12158203,2,1,0,0.00081
E6,10000,arac-lite-v0.6-targeted-probe,6,3,1,0.3333333333333333,-21640851.12158203,2,1,0,0.00081
E6,20000,arac-lite-v0.6-no-delta-hard-block,8,2,1,0.5,-50629470.02032471,1,1,0,0.00051
E6,20000,arac-lite-v0.6-targeted-probe,8,2,1,0.5,-50629470.02032471,1,1,0,0.00051
R6,5000,arac-lite-v0.6-no-delta-hard-block,11,1,1,1.0,38076539.93359375,1,1,0,0.00138
R6,5000,arac-lite-v0.6-targeted-probe,11,1,1,1.0,38076539.93359375,1,1,0,0.00138
R6,10000,arac-lite-v0.6-no-delta-hard-block,0,0,0,0.0,nan,0,0,0,0.0007000000000000001
R6,10000,arac-lite-v0.6-targeted-probe,0,0,0,0.0,nan,0,0,0,0.0007000000000000001
R6,20000,arac-lite-v0.6-no-delta-hard-block,2,2,0,0.0,-27952.636886000633,0,0,2,0.000445
R6,20000,arac-lite-v0.6-targeted-probe,2,2,0,0.0,-27952.636886000633,0,0,2,0.000445
S4,5000,arac-lite-v0.6-no-delta-hard-block,8,3,1,0.3333333333333333,-4061666415.1523438,0,1,0,0.00138
S4,5000,arac-lite-v0.6-targeted-probe,8,3,1,0.3333333333333333,-4061666415.1523438,0,1,0,0.00138
S4,10000,arac-lite-v0.6-no-delta-hard-block,1,0,0,0.0,nan,0,0,0,0.00071
S4,10000,arac-lite-v0.6-targeted-probe,1,0,0,0.0,nan,0,0,0,0.00071
S4,20000,arac-lite-v0.6-no-delta-hard-block,2,0,0,0.0,nan,0,0,0,0.00047000000000000004
S4,20000,arac-lite-v0.6-targeted-probe,2,0,0,0.0,nan,0,0,0,0.00047000000000000004
S6,5000,arac-lite-v0.6-no-delta-hard-block,11,2,0,0.0,-11495204564.326172,0,0,0,0.0015400000000000001
S6,5000,arac-lite-v0.6-targeted-probe,11,2,0,0.0,-11495204564.326172,0,0,0,0.0015400000000000001
S6,10000,arac-lite-v0.6-no-delta-hard-block,13,4,1,0.25,15072017.229225159,4,1,0,0.0009000000000000001
S6,10000,arac-lite-v0.6-targeted-probe,13,4,1,0.25,15072017.229225159,4,1,0,0.0009000000000000001
S6,20000,arac-lite-v0.6-no-delta-hard-block,1,0,0,0.0,nan,0,0,0,0.00039
S6,20000,arac-lite-v0.6-targeted-probe,1,0,0,0.0,nan,0,0,0,0.00039
