problem,seed,tfes,phase,target_budget,random_probe_count,budget_gap
A6,1,20000,middle,1,1,0
A6,3,10000,middle,1,1,0
A6,3,20000,middle,1,1,0
A6,5,5000,middle,1,1,0
A6,5,20000,middle,1,1,0
A6,6,5000,middle,1,1,0
A6,6,10000,middle,3,3,0
A6,6,20000,middle,1,1,0
A6,7,10000,middle,1,1,0
A6,8,10000,middle,1,1,0
E4,5,5000,middle,1,1,0
E4,6,10000,middle,1,1,0
E4,9,10000,middle,1,1,0
E6,2,5000,middle,1,1,0
E6,3,5000,middle,1,1,0
E6,3,10000,middle,2,2,0
E6,7,10000,middle,1,1,0
E6,9,20000,middle,1,1,0
E6,10,20000,middle,1,1,0
R6,2,5000,middle,1,1,0
R6,5,20000,middle,1,1,0
R6,7,20000,middle,1,1,0
S4,1,5000,middle,1,1,0
S4,3,5000,middle,1,1,0
S4,4,5000,middle,1,1,0
S6,1,10000,middle,2,2,0
S6,4,10000,middle,1,1,0
S6,5,5000,middle,1,1,0
S6,9,10000,middle,1,1,0
S6,10,5000,middle,1,1,0
