problem,tfes,method,signature_candidate_count,probe_count,probe_accept_count,probe_accept_rate,probe_delta_mean,matched_probe_count,recovered_fusion_count,bad_probe_count,extra_fe_ratio
A6,5000,arac-lite-v0.6-random-probe-same-budget,0,2,1,0.5,-299.0053212329949,0,1,0,0.00184
A6,5000,arac-lite-v0.6-targeted-probe,7,2,0,0.0,-318.1733635909259,0,0,0,0.00184
A6,10000,arac-lite-v0.6-random-probe-same-budget,0,6,3,0.5,21.21827954955855,0,3,0,0.00167
A6,10000,arac-lite-v0.6-targeted-probe,19,6,2,0.3333333333333333,21.188872399213626,2,2,0,0.0016799999999999999
A6,20000,arac-lite-v0.6-random-probe-same-budget,0,4,0,0.0,-39.02102124948942,0,0,0,0.001125
A6,20000,arac-lite-v0.6-targeted-probe,18,4,1,0.25,-0.7392943500817637,1,1,0,0.0011099999999999999
E4,5000,arac-lite-v0.6-random-probe-same-budget,0,1,1,1.0,3838163.517578125,0,1,0,0.00152
E4,5000,arac-lite-v0.6-targeted-probe,2,1,0,0.0,-23819499.5859375,0,0,0,0.00152
E4,10000,arac-lite-v0.6-random-probe-same-budget,0,2,0,0.0,-34250470.67114258,0,0,0,0.00091
E4,10000,arac-lite-v0.6-targeted-probe,6,2,0,0.0,-54613733.64941406,1,0,0,0.00086
E4,20000,arac-lite-v0.6-random-probe-same-budget,0,0,0,0.0,nan,0,0,0,0.000445
E4,20000,arac-lite-v0.6-targeted-probe,0,0,0,0.0,nan,0,0,0,0.000445
E6,5000,arac-lite-v0.6-random-probe-same-budget,0,2,2,1.0,163947593.453125,0,2,0,0.00152
E6,5000,arac-lite-v0.6-targeted-probe,18,2,1,0.5,-247486256.45654297,1,1,0,0.00152
E6,10000,arac-lite-v0.6-random-probe-same-budget,0,3,2,0.6666666666666666,-27788648.20345052,0,2,0,0.0008400000000000001
E6,10000,arac-lite-v0.6-targeted-probe,6,3,1,0.3333333333333333,-21640851.12158203,2,1,0,0.00081
E6,20000,arac-lite-v0.6-random-probe-same-budget,0,2,0,0.0,-10636190.530395508,0,0,0,0.00051
E6,20000,arac-lite-v0.6-targeted-probe,8,2,1,0.5,-50629470.02032471,1,1,0,0.00051
R6,5000,arac-lite-v0.6-random-probe-same-budget,0,1,1,1.0,405955365.94628906,0,1,0,0.00138
R6,5000,arac-lite-v0.6-targeted-probe,11,1,1,1.0,38076539.93359375,1,1,0,0.00138
R6,10000,arac-lite-v0.6-random-probe-same-budget,0,0,0,0.0,nan,0,0,0,0.0007000000000000001
R6,10000,arac-lite-v0.6-targeted-probe,0,0,0,0.0,nan,0,0,0,0.0007000000000000001
R6,20000,arac-lite-v0.6-random-probe-same-budget,0,2,1,0.5,10642.306189060211,0,1,1,0.00044
R6,20000,arac-lite-v0.6-targeted-probe,2,2,0,0.0,-27952.636886000633,0,0,2,0.000445
S4,5000,arac-lite-v0.6-random-probe-same-budget,0,3,1,0.3333333333333333,-3416896347.2591147,0,1,0,0.00138
S4,5000,arac-lite-v0.6-targeted-probe,8,3,1,0.3333333333333333,-4061666415.1523438,0,1,0,0.00138
S4,10000,arac-lite-v0.6-random-probe-same-budget,0,0,0,0.0,nan,0,0,0,0.00071
S4,10000,arac-lite-v0.6-targeted-probe,1,0,0,0.0,nan,0,0,0,0.00071
S4,20000,arac-lite-v0.6-random-probe-same-budget,0,0,0,0.0,nan,0,0,0,0.00047000000000000004
S4,20000,arac-lite-v0.6-targeted-probe,2,0,0,0.0,nan,0,0,0,0.00047000000000000004
S6,5000,arac-lite-v0.6-random-probe-same-budget,0,2,2,1.0,5088048996.595703,0,2,0,0.0015400000000000001
S6,5000,arac-lite-v0.6-targeted-probe,11,2,0,0.0,-11495204564.326172,0,0,0,0.0015400000000000001
S6,10000,arac-lite-v0.6-random-probe-same-budget,0,4,3,0.75,68190601.09603882,0,3,0,0.00088
S6,10000,arac-lite-v0.6-targeted-probe,13,4,1,0.25,15072017.229225159,4,1,0,0.0009000000000000001
S6,20000,arac-lite-v0.6-random-probe-same-budget,0,0,0,0.0,nan,0,0,0,0.00039
S6,20000,arac-lite-v0.6-targeted-probe,1,0,0,0.0,nan,0,0,0,0.00039
